Лог был сохранен в архив "log api 08.04.2025, 22_14_01.txt" и очищен
08.04.2025, 22:13:55 api/system(AdverterBuilderManager) Сервис запущен > 
08.04.2025, 22:13:56 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
08.04.2025, 22:15:15 api/system(AdverterBuilderManager) Сервис запущен > 
08.04.2025, 22:15:15 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
08.04.2025, 22:19:18 api/system(AdverterBuilderManager) Сервис запущен > 
08.04.2025, 22:19:19 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
08.04.2025, 22:20:58 api/system(AdverterBuilderManager) Сервис запущен > 
08.04.2025, 22:20:58 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
08.04.2025, 22:21:36 api/system(AdverterBuilderManager) Сервис запущен > 
08.04.2025, 22:21:37 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
08.04.2025, 22:23:55 api/system(AdverterBuilderManager) Сервис запущен > 
08.04.2025, 22:23:56 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
08.04.2025, 22:24:13 api/system(AdverterBuilderManager) Сервис запущен > 
08.04.2025, 22:24:14 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
08.04.2025, 22:28:28 api/system(AdverterBuilderManager) Сервис запущен > 
08.04.2025, 22:28:29 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
08.04.2025, 22:29:59 api/system(AdverterBuilderManager) Сервис запущен > 
08.04.2025, 22:30:00 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
08.04.2025, 22:30:56 api/system(AdverterBuilderManager) Сервис запущен > 
08.04.2025, 22:30:56 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
08.04.2025, 22:31:55 api/system(AdverterBuilderManager) Сервис запущен > 
08.04.2025, 22:31:55 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
08.04.2025, 22:32:37 api/system(AdverterBuilderManager) Сервис запущен > 
08.04.2025, 22:32:38 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
08.04.2025, 22:32:54 api/system(AdverterBuilderManager) Сервис запущен > 
08.04.2025, 22:32:54 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
08.04.2025, 22:34:51 api/system(AdverterBuilderManager) Сервис запущен > 
08.04.2025, 22:34:52 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
08.04.2025, 22:35:52 api/system(AdverterBuilderManager) Сервис запущен > 
